,UsernamePost,DatePosting,Posting,Saham
10,kaburterus,"12 May 21, 15:49 · Edited on 12 May 21, 16:00","$UNVR   Book Value per Share


Pada saat saya beli saham UNVR, otomatis analisa book value per share (BVPS) dan rasio perbandingan antara harga saham dengan BPVS-nya atau PBVR, ke-dua analisa tersebut telah saya buang ke laut palung maryna analisa tersebut. Ini bukan saya frustasi karena DPR = 100% yang menyebakan BVPS tidak pernah meningkat. Dan bahkan saya juga telah mulai membuang analisa BVPS untuk memilih saham lain yang akan saya beli kenapa?

Karena manfaat yang paling penting dari mengetahui bvps adalah bahwa kita akan selalu terbawa-bawa dengan konsep  Kebangkrutan , kalau emiten bangkrut kita masih aman gak? Uang masih Kembali nggak? Atau dapat untung nggak? Itu biasanya disebut dengan margin of safety. Dimana margin of safety (MOS) adalah selisih positif pada saat kita membandingkan BVPS dengan harga saham, atau diformulasikan;
MOS = BVPS   Harga saham.
Atau kalau diturunkan dari perhitungan PBVR, maka;
MOS = (1 - PBVR) X harga saham

Jadi kalau anda memulai sesuatu dengan suudzon, berprasangka-buruk sebenarnya pertanyaan saya kepada anda, untuk apa memulai bisnis, untuk apa saham emiten tersebut dibeli? Tetapi karena anda ""benci tapi rindu"" kemudian anda gunakanlah tools BPVS, PBVR dan MOS. Dan tentu saja hasilnya anda akan semakin benci.

Kalau anda balik menayakan saya, maka analisa bvps, pbvr sudah saya buang kelaut, itu sebabnya saya hanya akan mengulas di sb untuk emiten yang saya beli seperti : dll

Saya pakai analisa arus kas dari dividennya saja, dan tentunya analisa ini otomatis akan terkait dengan PER. PER terhubung dengan perhitungan masa depan. Itu sebanya dalam banyak postingan saya menghitung hasil PER dengan kesimpulan satuan waktu seperti PER = 1 abad  50 tahun  dsb.

Dan meskipun masa depan tidak ada yang tau, tetapi ada kaidah umum bahwa masa depan anda akan ditentukan oleh kelakuan anda saat ini. Jadi saya berani menebak bahwa kelakuan UNVR sampai dengan saat ini baik-baik saja, dan tidak neko-neko. Maka masa depan UNVR juga aman-aman saja.

Soal peluang bahwa UNVR akan membuka bisnis baru mengembangkan usaha? Maka jawab saya jangan mengajari PSP UNVR yang umurnya lebih tua dibandingkan dengan NKRI, bagaimana caranya BERENANG . Maka saya masih dalam fase akumulasi menikmati membeli UNVR dengan harga terendah dalam lima tahun terakhir.

Demikian semoga semakin lebih kreatif lagi tebar fearnya di UNVR, agar supaya saya segera full muatannya.","AGAR,AMAN,MASA,UANG,UNVR"
11,bagong,"12 May 21, 13:36","$HRUM $ANTM $INCO
Wow Nickel balik diatas $18rb...","ANTM,HRUM,INCO"
12,ilprincipe,"13 May 21, 17:14",$BBRI,BBRI
13,bejocuan,"12 May 21, 12:35","$BMRI $BRIS

mari kita diskusi ringan
BMRI mempunyai 50.9% BRIS,
apakah beli BMRI = membeli 50% BRIS?

PBV BMRI = 1.5
PBV BRIS = 4.1","BMRI,BRIS,MARI"
14,velechan,"13 May 21, 14:49","Supply & Demand makin lama makin menurun. Penjualan pun menurun. Tapi Debt tetap ada. Berapa perusahaan yg akan default? Asia krisis bakal kembali 1997-1998? apa Indonesia bakal default? Harga bahan baku pun naik tinggi. Mending cash 100%. Trader nomor 1 Di dunia Mark Minervini lagi hold cash 100% buat pasar saham. Inflasi tentu gk bagus aplgi yg naik tinggi. Rate naik, Cash flow perusahaan bakal jelek dan sales pun menurun. Makanya banyak yg beli bond dan gold. Saham Index Asia sideways berbulan2 buat nunggu waktu yg tepat buat jatuh. ini lah momen yg di tunggu. IHSG sepi karna retail pindah ke asset lain, yakin cuma retail yg pindah? itu transaksi turunnya lumayan dalem $BBRI $BBCA $UNVR $MEDC $MDKA","BBCA,BBRI,CASH,GOLD,MARK,MDKA,MEDC,UNVR"
15,wijoko,"13 May 21, 15:26","yang bilang bursa global sudah naik tinggi.... tapi ihsg gk naik naik....
coba sekarang... bursa global berjatuhan....harapan nya ke ihsg apa??
$BBRI $BBCA","BBCA,BBRI"
16,mrase,"13 May 21, 15:24","Mark Minervini seorang trader di US yg luar biasa hebat posisinya sudah 100% Cash.
Apakah senin akan turun? Ya saya tidak tau.
Tapi jika turun, ya prepare untuk tidak melawan market.


$IHSG $BBRI $ANTM $ITMG $BMRI","ANTM,BBRI,BMRI,CASH,ITMG,MARK"
17,sidiksaham,"13 May 21, 15:04 · Edited on 13 May 21, 15:05","STOCKBIT...
Saling
Teliti
Olah
Cuan
Kita
Bersama
Ihsg
To the moon




BBRI BRPT LPPF LPKR PTBA","BBRI,BRPT,LPKR,LPPF,PTBA"
18,DailyInspiration,"8 May 21, 17:33 · Edited on 8 May 21, 17:34","$IHSG Timing terbaik untuk menentukan market Bubble adalah di saat kang bakso ngomongin saham, itu pernah saya praktikkan & berhasil (bisa dilihat di postingan saya 13 Januari 2021)
saya jual 75% portofolio saya & 2minggu ini baru mulai avd kebawah.. & semakin kebawah semakin avd.
Saat (minggu kedua januari) itu semua postingan IG isinya saham saham & saham, orang yg ga ngerti saham pada beli, borong & gadai rumah..

& NOW semua postingan isinya CRYPTO CRYPTO CRYPTO, are you ready ??, Market Madness, transaksi melejit akhir akhir ini ( silahkan cek transaksi di gecko)

saya pegang crypto dari desember 2020 kok :), ya meski sebagian besar sudah dijual.. hati hati saja terutama buat yang all in.. bukan tidak mungkin crypto anda yang nilainya 100 jt menjadi 100 rb.. maksimal porto spekulasi adalah 5% porto, lebih dari itu sudah tidak disarankan",[]
19,DailyInspiration,"8 May 21, 17:33 · Edited on 8 May 21, 17:34","$IHSG Timing terbaik untuk menentukan market Bubble adalah di saat kang bakso ngomongin saham, itu pernah saya praktikkan & berhasil (bisa dilihat di postingan saya 13 Januari 2021)
saya jual 75% portofolio saya & 2minggu ini baru mulai avd kebawah.. & semakin kebawah semakin avd.
Saat (minggu kedua januari) itu semua postingan IG isinya saham saham & saham, orang yg ga ngerti saham pada beli, borong & gadai rumah..

& NOW semua postingan isinya CRYPTO CRYPTO CRYPTO, are you ready ??, Market Madness, transaksi melejit akhir akhir ini ( silahkan cek transaksi di gecko)

saya pegang crypto dari desember 2020 kok :), ya meski sebagian besar sudah dijual.. hati hati saja terutama buat yang all in.. bukan tidak mungkin crypto anda yang nilainya 100 jt menjadi 100 rb.. maksimal porto spekulasi adalah 5% porto, lebih dari itu sudah tidak disarankan",[]
20,DailyInspiration,"8 May 21, 17:33 · Edited on 8 May 21, 17:34","$IHSG Timing terbaik untuk menentukan market Bubble adalah di saat kang bakso ngomongin saham, itu pernah saya praktikkan & berhasil (bisa dilihat di postingan saya 13 Januari 2021)
saya jual 75% portofolio saya & 2minggu ini baru mulai avd kebawah.. & semakin kebawah semakin avd.
Saat (minggu kedua januari) itu semua postingan IG isinya saham saham & saham, orang yg ga ngerti saham pada beli, borong & gadai rumah..

& NOW semua postingan isinya CRYPTO CRYPTO CRYPTO, are you ready ??, Market Madness, transaksi melejit akhir akhir ini ( silahkan cek transaksi di gecko)

saya pegang crypto dari desember 2020 kok :), ya meski sebagian besar sudah dijual.. hati hati saja terutama buat yang all in.. bukan tidak mungkin crypto anda yang nilainya 100 jt menjadi 100 rb.. maksimal porto spekulasi adalah 5% porto, lebih dari itu sudah tidak disarankan",[]
21,ARJUNA777,"12 May 21, 21:37 · Edited on 12 May 21, 21:45","@tomhardi tau aja ni om
Bukan barchart aja om, sunsirs juga",[]
22,bennix,"12 May 21, 21:36","Thesis kembali berubah, saham saham dengan mayoritas kepemilikan asing siap-siap jatuh terkulai.

Dollar AS sudah saatnya pulang kampung.
Mari kita lihat langkah Jerome selanjutnya.

Bila suku bunga tidak dinaikkan, maka Crypto akan melesat naik. Bila jadi dinaikkan, maka Bursa akan jatuh. Serba salah. Apapun hasilnya, nasib Bank Sentral semakin diujung tanduk.

Belajar dari pertarungan warga Amerika Latin melawan inflasi, sepertinya badai Crypto tidak terelakkan lagi.

Brace yourself","BANK,MARI"
23,munas17,"12 May 21, 21:36",@adamash Mau nambang oksigen di Mars,[]
24,buditrade,"12 May 21, 21:35 · Edited on 12 May 21, 21:36","@Hendry74 Pada lari ke kripto kali ya hehe. Masalahnya harga komoditas naik tapi ga jamin permintaan sdh normal, problemmya disitu. Contohnya ptba saja, kuartal 1 tahun ini malah turun, padahal harga coal rata2 sdh diatas 85. Pandemi jadi penyebabnya. Tapi ya, kenaikan harga komoditas pastinya sangat membantu disaat permintaan masih lesu. Mudah2an tahun ini ekonomi bisa lebih baik, asal kasus covid tidak meledak aja seperti di India dan sebagian negara lain di ASIA.",PTBA
25,dentos,"12 May 21, 21:35 · Edited on 12 May 21, 21:35","Sementara kebanyakan orang2 yang selalu mencoba timing the market.. Pemulung receh dari bulan april tahun lalu saat ini sudah gain bager2 dari saham yang dibuang-buang, mereka masih sibuk mikirin CRASH sampai saat ini.
WB, Munger dll tidak pernah mencoba timing the market. Untuk mengantisipasi crash, mereka tidak pernah menganjurkan menjual sebagian besar portofolio. Tapi sediakan cash untuk membeli jika crash terjadi. Hal yg sangat berbeda

https://bit.ly/3w1LfQy",CASH
26,skydrugz27,"12 May 21, 21:31",@ahmadmujadid Chevron,[]
27,scnsa,"12 May 21, 21:30",@awesomemfg tapi kok di harga yg bukan sewajarnya 109? wow...,[]
28,Seta87,"12 May 21, 21:29",@tomhardi,[]
29,tomhardi,"12 May 21, 21:29 · Edited on 12 May 21, 21:30","@Seta87 ketinggalan di mensien, maap",[]
30,tomhardi,"12 May 21, 21:29 · Edited on 12 May 21, 21:30","@Seta87 ketinggalan di mensien, maap",[]
31,tomhardi,"12 May 21, 21:27 · Edited on 12 May 21, 21:28","Saya baru dapet DM dr barchart titip pesen
buat jagoan arang2an SB special mensien @StevenRin @dhimputra @andreas7hartono @michael1009 @ARJUNA777 @Satrya5tars ..

'Tolong situs kami jgn di refresh terus tiap menit, tar kami dak mau update lg lho '

----

Minal aidin wal faidzin, mohon maaf lahir batin ya buat temen2 SB yg merayakan. Dan met liburan di rumah ya buat yg laen",[]
32,ValentinoSteven,"12 May 21, 21:26 · Edited on 12 May 21, 21:29","$BRPT membentuk Bearish pattern yaitu Descending Triangle, kemungkinan Down terjauh akan mencapai rectangle antara 725-635(674.88 tepat di garis Gibo 1.618) sebelum itu harga harus melewati Garis Fibo 1 di 885 dan Breakout harga di 855, Hati-hati Juga terhadap Falsebreakout dan harga memantul di sekitar 885-855 ""Disclamer on""",BRPT
33,ahmadmujadid,"12 May 21, 21:26",kalo di gotrade kira kira saham komoditas yang bisa dipilih apa pak?,[]
34,irwinsetyawan,"12 May 21, 21:26","selamat Hari raya idul fitri
$IHSG",[]
35,skydrugz27,"12 May 21, 21:26","Saya bukan top contributor di SB.
Saya lebih suka under the radar saja.",[]
36,adamash,"12 May 21, 21:25",mau nambang di mars sama SpaceX,[]
37,adamash,"12 May 21, 21:25",mau nambang di mars sama SpaceX,[]
38,Cintagame,"12 May 21, 21:24",@Syaifur bingung ya kalo logam dan batu bara di pisah. padahal sama sama komoditas.. biasa naik dan turun juga searah,[]
39,fer10,"12 May 21, 21:22","@Pradana0401, tapi... harga emiten yg bagus, jarang terbang. krn bandar kurang suka bermain di emiten yg bagus.
ini yg sering jadi penyebap banyak ritel nyakot di pucuk.",[]
40,skydrugz27,"12 May 21, 21:21 · Edited on 12 May 21, 21:24","Inflasi Amerika Serikat Melonjak
https://stockbit.com/post/6345860

Di tulisan saya sebelumnya saya membahas mengenai kemungkinan akan naiknya Interest rate oleh The Fed.
https://stockbit.com/post/6343905

Possibilities itu makin besar dengan kabar terbaru di mana inflasi AS meningkat ke ATH 13 tahun.



Dengan adanya inflasi seperti ini, possibilities The Fed menaikkan interest rate semakin besar.

Ini akan berdampak buruk pada perusahaan yang utang banyak terutama dalam bentuk dollar.

Untuk mengatasi ini saya memilih hedging di saham komoditas dan konsumer.

Bagi yang mau hedging ke kripto bisa daftar di sini",SINI
41,btan88,"12 May 21, 21:21",@DailyInspiration kok ga $DLTA ya pak.. hehe..,DLTA
42,Hendry74,"12 May 21, 21:19",@buditrade : semua komoditas dunia naik ATH. tapi saham gk bergerak krn saham sepi pemain. selama gk ada pemain saham cuma bisa sideway,[]
43,Hendry74,"12 May 21, 21:17",@Seta87 : wowo.coal dunia ATH tapi saham gk naik alias gk ada pemain jadi saham sideway aja,[]
44,xoxocia,"12 May 21, 21:16","@skydrugz27 maaf tp saya bingung kenapa rata2 Top user SB yg sering kasih kontribusi ide lewat tulisan tdk pasang foto. Memang itu preferensi dan mungkin ada yg nilai itu confidential sih.
Belvin yg dinilai punya tabiat buruk saja pede. Masa bpk ga pede pasang foto? Siapa tau nanti kalau lagi dijalan trs ada warga SB yg lihat kan bisa saling sapa. Hehe",MASA
45,risky666,"12 May 21, 21:14 · Edited on 12 May 21, 21:15","@otoxilinder udah ah cape nulis2 panjang2 sm ente ga dibaca juga kayaknya, jadi muter2 ga karu2an wkwkwk.. lagian yg nyamain sm hmsp dan bluechip lain kan ente bukan ane wkwkwk..yauda tersrah ente deh kalo mnurut ente palm gorengan , knowledge orang kan beda2, ane ga boleh judge juga..bisa jadi ente juga bener dan ane yg salah..","HMSP,PALM"
46,warbuff,"12 May 21, 21:14",@AndriLoa nanti tiba2 fotonya muncul di majalah forbes bapak,[]
47,eddie1810,"12 May 21, 21:11",$TSPC .....2000......emiten super,TSPC
48,Syaifur,"12 May 21, 21:10","@Cintagame Kalau mining batubara maksudnya. Kalau yg lain logam-logaman, mestinya masuk basic industri karena mereka memang menghasilkan bahan dasar industri.",[]
49,andrelim,"12 May 21, 21:10","@ferdinanfirmansya hahaha ya ga gitu juga bro. transaksi batu bara hari ini itu udah dideal dari beberapa hari sebelumnya, jadi bukan ""halo saya order dong kirim ya ntar sore"".. gak gitu2 juga hahaha. jadi kalau harga saat ini naik, itu baru terasa hasilnya di minggu2 depan.",[]
50,popung,"12 May 21, 21:08",Aamiin,[]
51,radothpoendiangan681,"12 May 21, 21:08","@juliushalim Masalah piutang usaha, ini kasus yang sudah lama terjadi. Sejak 2018 pun LINK sudah mengalami hal ini. Masalahnya adalah yang dijual LINK bukanlah barang, tetapi layanan. Tentu kita tahu bisnis layanan sewa tidak semuanya pelanggan akan bisa membayar dengan lancar, pasti ada juga pelanggan yang mengalami kesulitan. Bank saja ada kredit macetnya, masakkan LINK yang memberikan layanan sewa tidak ada. Apalagi pembayaran sewa dibayarkan setiap bulannya seperti membayar cicilan motor. Buktinya apa, jika kita lihat catatan 5 dilaporan keuangan maka akan tertulis demikian ""Penurunan nilai secara individu berkaitan dengan pelanggan pihak ketiga yang layanannya telah diputus atau diturunkan"". Jika tidak bayar gampang saja bagi LINK, tinggal putuskan saja layanannya. Bisnis LINK ini sederhana, bisnis layanan. Masalah dengan pihak berelasi, INGAT pendapatan LINK pada 2020 IDR 3,9T adalah pihak ketiga, dan hanya IDR 49,97M saja pihak berelasi. Kontribusi pendapan dari pihak berelasi tidak begitu signifikan. Hanya ingin bertukar pikiran, no baper.","BANK,LINK"
52,ParkJanCok,"12 May 21, 21:08",$IHSG waduh.. bopen udh mulai nih . kira2 pompom nya d binance apa indodek ya?,[]
53,Syaifur,"12 May 21, 21:08",@Cintagame Energy mestinya bro. Cek aja.,[]
54,popung,"12 May 21, 21:07",@samdjait mau keluarin produk terbaru shampo dan conditioner,[]
55,Cintagame,"12 May 21, 21:06",kalo mining masuk kemana ya?,[]
56,juliushalim,"12 May 21, 21:03","Terima kasih atas apresiasi dari Stokbit @superadmin atas tulisan yang terpilih sebagai edukasi

Pengenalan diri sendiri dalam berinvestasi bagi pemula :

https://stockbit.com/post/4988886

ROE perusahaan (Emiten) vs ROE Investor ( Diri sendiri)



Semoga berguna bagi pembaca untulk menciptakan ekosistem investor saham yang teredukasi",[]
57,DailyInspiration,"12 May 21, 21:02",@iwanxoen25 klo saya $INDF $TSPC $MLBI,"INDF,MLBI,TSPC"
58,Syaifur,"12 May 21, 21:02",Nice. Sektor di search @Stockbit ganti ke daftar sektor baru.,[]
59,Jikon,"12 May 21, 21:02","ngga om, mereka juga dibayar Ama emiten",[]
60,iwanxoen25,"12 May 21, 21:00","@DailyInspiration konsumer ini seperti $ERAA, $ACES atau $INDF, $MYOR, $ULTJ ya Om?","ACES,ERAA,INDF,MYOR,ULTJ"
61,Julino,"12 May 21, 20:59",220 masih tinggi Q1 2021 laporan ky gini cocokny di 170-180,[]
62,kakdr,"12 May 21, 20:59",Damai di Langit Damai di Bumi Damai di Hati,BUMI
63,samdjait,"12 May 21, 20:58","ada informasi apa yah $ZINC ini lae?
klo tarik info broksum dari bulan lalu big accum sih...",ZINC
64,adelnazario,"12 May 21, 20:57",@cipluk artinya rugi yang ngambil dividen kamarin gan.,[]
65,Cintagame,"12 May 21, 20:56","@dhimputra gue bukan pecinta $BEST. tapi spekulan best lebih tepatnya. turun beli cicil cicil...naik jual cicil cicil.

PS: soal detail Laporan keuangan itu bukan keahlian gue Bro. coba minta tolong @kaburterus. kalo dia berkenan, mungkin bisa bantu dikau bedah LK nya best, termasuk transaksi afiliasi yg menurut dikau mungkin ada potensi value trap..",BEST
66,mtaufikmulyadi,"12 May 21, 20:56",@SendyP Udah keluar masuk nih. Hitungan masuk terakhir di 1200 selasa kemarin.,[]
67,mtaufikmulyadi,"12 May 21, 20:56",@SendyP Udah keluar masuk nih. Hitungan masuk terakhir di 1200 selasa kemarin.,[]
68,buditrade,"12 May 21, 20:54","$CPO tembus 4500, Coal jg diatas 100.
$LSIP $AALI","AALI,LSIP"
69,dhimputra,"12 May 21, 20:49","@Cintagame bro, lo kan pecinta BEST nih. Boleh tolong dishare analisis lo soal transaksi afiliasinya BEST? Keliatannya ada beberapa yang perlu ditelisik, biar ga kena value trap.

Thanks bro",BEST
70,kakdr,"12 May 21, 20:49",Terima kasih @Stockbit,[]
71,DailyInspiration,"12 May 21, 20:45","$IHSG 3 Sektor paling menarik untuk saat ini:
1. Konsumer
2. Bank
3. Property",BANK
72,deewaldorf,"12 May 21, 20:45",https://bit.ly/3uA2bNU,[]
73,suryam1791,"12 May 21, 20:44","@ferdinanfirmansya waduh kalo gt sama aja kalau libur : PLN matiin listriknya, telkom matiin jaringannya dong?",[]
74,Lerr,"12 May 21, 20:42","@fajrisyafitri2704
hajar sebelum disikat bandar...",[]
75,ValueStock13,"12 May 21, 20:42","Video Analisa Fundamental Q1 2021 :
$BJTM = https://bit.ly/3bnjoT7
$HMSP = https://bit.ly/3eDn6KA
$SIDO = https://bit.ly/3vWafbV

Summary Analisa Fundamental Q4 2020 (59 Emiten) :
https://bit.ly/33BQlXL

Alasan Kenapa Harus Investasi :","BJTM,HMSP,SIDO"
76,Satrya5tars,"12 May 21, 20:41","Arang jahat-arang baik, arang lambat-arang kenceng, arang mahal-arang murah, semua sudah disimpan rapat di bagasi om Tinggal berangkat aja",[]
77,andreas7hartono,"12 May 21, 20:41","@Gwill sya baca berita beliau bil iseng hehee, but kita gk tahu gmn cm sya liat ke depannya hehehe",BACA
78,SendyP,"12 May 21, 20:40",avg brp mas ?,[]
79,StockbitNews,"12 May 21, 20:40","Harga CPO Berhasil Melesat dan Sentuh Rekor Tertinggi Barunya
Jakarta, CNBC Indonesia - Harga komoditas minyak sawit mentah (Crude Palm Oil/CPO) berhasil menguat kembali, bahkan melesat pada perdagangan Rabu (12/5/2021), setelah dua hari sebelumnya sempat melemah.Harga kontrak CPO pengiriman Juli saat ini berada di RM 4.506/ton atau melesat 3,59% dan berhasil ...",PALM
80,mtaufikmulyadi,"12 May 21, 20:40","$ASII Selasa kemarin spekulasi buy untuk BlueChip yang lagi di tarik turun hampir 3% di 5225 padahal kinerja penjualan toyota daihatsu udah berangsur angsur normal di tambah dengan adanya vaksin gotong royong sebagai katalis orang kembali ke kantor setelah WFH, banyak yang butuh mobil baru. Stop loss kalau sampai turun di bawah 5050.

https://bit.ly/33FrnGO",ASII
81,Gwill,"12 May 21, 20:36",btw LKH jual hanya sedikit waktu itu karena harga nya keburu turun beliau bilang sendiri ktika ditanya pak lukas setya atmaja,[]
82,Gwill,"12 May 21, 20:36",btw LKH jual hanya sedikit waktu itu karena harga nya keburu turun beliau bilang sendiri ktika ditanya pak lukas setya atmaja,[]
83,skydrugz27,"12 May 21, 20:34",@IfoYuda serok selot,[]
84,STORY77,"12 May 21, 20:34",@IfoYuda yg nyangkut CL aja dl.,[]
85,bullsway,"12 May 21, 20:33",negeri terlalu banyak libur n busy ngejar sorga,[]
86,bayuarya28,"12 May 21, 20:31","di bukunya Aswath Damodaran, The Little Book of Valuation, dijelaskan ciri Mature Company, Growth nya selaras dengan pertumbuhan ekonomi, kalau lagi kontraksi seperti skr, ya earning kontraksi ya wajar.. apalagi $UNVR bukan mature company yg comodity cyclical, tapi consumer",UNVR
87,bayuarya28,"12 May 21, 20:31","di bukunya Aswath Damodaran, The Little Book of Valuation, dijelaskan ciri Mature Company, Growth nya selaras dengan pertumbuhan ekonomi, kalau lagi kontraksi seperti skr, ya earning kontraksi ya wajar.. apalagi $UNVR bukan mature company yg comodity cyclical, tapi consumer",UNVR
88,winsonskrrrtt,"12 May 21, 20:26","$LPKR ini juga rugi bengkak , revaluasi2",LPKR
